time;queries_in_system;time_in_queues;rejected_connections;parallel_query;load_ratio;TZ00:00
2025-05-22T11:16:11Z00:00;87;0;0;87;1.36;
2025-05-22T11:16:41Z00:00;69;3;0;69;1.08;
2025-05-22T11:17:11Z00:00;36;0;0;36;0.56;
2025-05-22T11:17:41Z00:00;47;0;0;47;0.73;
2025-05-22T11:18:11Z00:00;54;18;0;54;0.84;
2025-05-22T11:18:41Z00:00;95;1;0;95;1.48;
2025-05-22T11:19:11Z00:00;85;4;0;85;1.33;
2025-05-22T11:19:41Z00:00;63;7;0;63;0.98;
2025-05-22T11:20:11Z00:00;53;6;0;53;0.83;
2025-05-22T11:20:41Z00:00;58;5;0;58;0.91;
2025-05-22T11:21:11Z00:00;74;4;0;74;1.16;
2025-05-22T11:21:41Z00:00;50;7;0;50;0.78;
2025-05-22T11:22:11Z00:00;66;2;0;66;1.03;
2025-05-22T11:22:41Z00:00;61;3;0;61;0.95;
2025-05-22T11:23:11Z00:00;46;3;0;45;0.70;
2025-05-22T11:23:41Z00:00;50;2;0;50;0.78;
2025-05-22T11:24:11Z00:00;49;3;0;49;0.77;
2025-05-22T11:24:41Z00:00;79;6;0;79;1.23;
2025-05-22T11:25:11Z00:00;46;1;0;46;0.72;
2025-05-22T11:25:41Z00:00;60;3;0;60;0.94;
2025-05-22T11:26:11Z00:00;46;2;0;46;0.72;
2025-05-22T11:26:41Z00:00;59;1;0;59;0.92;
2025-05-22T11:27:11Z00:00;61;3;0;61;0.95;
2025-05-22T11:27:41Z00:00;178;451;0;128;2.00;
2025-05-22T11:28:11Z00:00;68;18;0;68;1.06;
2025-05-22T11:28:41Z00:00;112;1;0;112;1.75;
2025-05-22T11:29:11Z00:00;111;1;0;111;1.73;
2025-05-22T11:29:41Z00:00;87;15;0;87;1.36;
2025-05-22T11:30:11Z00:00;90;1;0;90;1.41;
2025-05-22T11:30:41Z00:00;123;3;0;123;1.92;
2025-05-22T11:31:11Z00:00;85;6;0;85;1.33;
2025-05-22T11:31:41Z00:00;78;6;0;78;1.22;
2025-05-22T11:32:11Z00:00;95;3;0;95;1.48;
2025-05-22T11:32:41Z00:00;63;26;0;62;0.97;
2025-05-22T11:33:11Z00:00;91;4;0;91;1.42;
2025-05-22T11:33:41Z00:00;119;5;0;119;1.86;
2025-05-22T11:34:11Z00:00;73;4;0;73;1.14;
2025-05-22T11:34:41Z00:00;82;3;0;82;1.28;
2025-05-22T11:35:11Z00:00;62;3;0;62;0.97;
2025-05-22T11:35:41Z00:00;81;3;0;81;1.27;
2025-05-22T11:36:11Z00:00;74;4;0;74;1.16;
2025-05-22T11:36:41Z00:00;39;4;0;39;0.61;
2025-05-22T11:37:11Z00:00;60;3;0;60;0.94;
2025-05-22T11:37:41Z00:00;53;1;0;53;0.83;
2025-05-22T11:38:11Z00:00;86;3;0;86;1.34;
2025-05-22T11:38:41Z00:00;46;2;0;46;0.72;
2025-05-22T11:39:11Z00:00;112;5;0;112;1.75;
